,id,name,imageUrl,thumbnailUrl,mobileImageUrl,productCount,comparable,discountedCount,childCount,children,boutique,slug,preferredDisplayStyle,promotionContentType,promotionContentId,promotionRecommendationCarouselId
33,5586,Sós sütemény,,,,53,False,12,3,[],False,sos-sutemeny,,banner,1360,
34,5587,Szeletes termék,,,,152,False,5,5,[],False,szeletes-termek,,banner,1360,
35,5588,Táblás csokoládé,,,,177,False,2,5,[],False,tablas-csokolade,,banner,1360,
36,5589,"Keksz, nápolyi, piskóta",,,,264,False,8,6,[],False,keksz-napolyi-piskota,,banner,1360,
37,5591,Csökkentett cukor- és szénhidráttartalmú termékek,,,,280,False,7,11,[],False,csokkentett-cukor-es-szenhidrattartalmu-termekek,,,,
38,5592,Speciális étrend,,,,122,False,9,6,[],False,specialis-etrend,,,,
39,5594,Gluténmentes termékek,,,,281,False,5,12,[],False,glutenmentes-termekek,,,,
40,5595,Laktózmentes termékek,,,,117,False,18,10,[],False,laktozmentes-termekek,,,,
41,5596,Édesítőszerek,,,,45,False,0,6,[],False,edesitoszerek,,,,
42,5598,Fagyasztott burgonya,,,,31,False,0,2,[],False,fagyasztott-burgonya,,,,
43,5599,"Fagyasztott zöldség, gyümölcs, sajt",,,,151,False,1,7,[],False,fagyasztott-zoldseg-gyumolcs-sajt,,,,
44,5600,Fagyasztott desszert,,,,43,False,2,4,[],False,fagyasztott-desszert,,,,
45,5602,Fagyasztott baromfi,,,,30,False,0,5,[],False,fagyasztott-baromfi,,,,
46,5604,Fagyasztott hal,,,,106,False,0,9,[],False,fagyasztott-hal,,,,
47,5606,"Fagyasztott készétel, Pizza",,,,148,False,29,7,[],False,fagyasztott-keszetel-pizza,,,,
48,5608,Jégkrém,,,,204,False,3,7,[],False,jegkrem,,,,
49,5609,Csomagoló eszköz,,,,59,False,0,5,[],False,csomagolo-eszkoz,,,,
50,5610,Légfrissítő és illatosító,,,,157,False,49,3,[],False,legfrissito-es-illatosito,,,,
51,5611,Mosogatószer,,,,132,False,38,2,[],False,mosogatoszer,,,,
52,5612,Mosószer,,,,382,False,61,9,[],False,mososzer,,,,
