,id,level,name,imageUrl,thumbnailUrl,mobileImageUrl,productCount,comparable,discountedCount,childCount,children,boutique,preferredDisplayStyle,promotionContentType,promotionContentId,slug,promotionRecommendationCarouselId
1268,11887,2.0,"Madár, rágcsáló eledel és felszerelés",,,,179,False,0,5,[],False,,banner,1528.0,madar-ragcsalo-eledel-es-felszereles,
1269,11889,3.0,Száraz kutyaeledel,,,,101,False,2,0,[],False,,banner,1528.0,szaraz-kutyaeledel,
1270,11891,3.0,Nedves kutyaeledel,,,,113,False,0,0,[],False,,banner,1528.0,nedves-kutyaeledel,
1271,11893,3.0,Jutalomfalat kutyáknak,,,,126,False,2,0,[],False,,banner,1528.0,jutalomfalat-kutyaknak,
1272,11895,3.0,Kutya ápolás és higiénia,,,,42,False,0,0,[],False,,banner,1528.0,kutya-apolas-es-higienia,
1273,11897,3.0,Kutyaház és fekhely,,,,16,False,0,0,[],False,,banner,1528.0,kutyahaz-es-fekhely,
1274,11899,3.0,Kutya játékok,,,,33,False,0,0,[],False,,banner,1528.0,kutya-jatekok,
1275,11901,3.0,"Kutya pórázok, nyakörvek és hámok",,,,53,False,0,0,[],False,,banner,1528.0,kutya-porazok-nyakorvek-es-hamok,
1276,11903,3.0,Kutyaruha és kiegészítő,,,,10,False,0,0,[],False,,banner,1528.0,kutyaruha-es-kiegeszito,
1277,11905,3.0,Kutya szállítás,,,,5,False,0,0,[],False,,banner,1528.0,kutya-szallitas,
1278,11907,3.0,Étkezés és vitaminok,,,,15,False,0,0,[],False,,banner,1528.0,etkezes-es-vitaminok,
1279,11909,3.0,Száraz macskaeledel,,,,79,False,20,0,[],False,,banner,1528.0,szaraz-macskaeledel,
1280,11912,3.0,Nedves macskaeledel,,,,206,False,4,0,[],False,,banner,1528.0,nedves-macskaeledel,
1281,11915,3.0,Jutalomfalat macskáknak,,,,23,False,0,0,[],False,,banner,1528.0,jutalomfalat-macskaknak,
1282,11918,3.0,"Alom, alomtál, wc",,,,13,False,0,0,[],False,,banner,1528.0,alom-alomtal-wc,
1283,11921,3.0,"Kaparófák, bútorok, cicaházak",,,,2,False,0,0,[],False,,banner,1528.0,kaparofak-butorok-cicahazak,
1284,11924,3.0,Macska ápolás és higiénia,,,,19,False,0,0,[],False,,banner,1528.0,macska-apolas-es-higienia,
1285,11927,3.0,Macska játékok,,,,7,False,0,0,[],False,,banner,1528.0,macska-jatekok,
1286,11930,3.0,Macska póráz és nyakörv,,,,6,False,0,0,[],False,,banner,1528.0,macska-poraz-es-nyakorv,
1287,11933,3.0,Étkezés és vitaminok,,,,5,False,1,0,[],False,,banner,1528.0,etkezes-es-vitaminok,
1288,11936,3.0,Akvárium és víz karbantartás,,,,12,False,0,0,[],False,,banner,1528.0,akvarium-es-viz-karbantartas,
1289,11939,3.0,Akvárium dekoráció és felszerelés,,,,20,False,0,0,[],False,,banner,1528.0,akvarium-dekoracio-es-felszereles,
1290,11942,3.0,Hal- és teknős eledel,,,,67,False,0,0,[],False,,banner,1528.0,hal-es-teknos-eledel,
1291,11945,3.0,Általános magvak és vitaminok,,,,59,False,0,0,[],False,,banner,1528.0,altalanos-magvak-es-vitaminok,
1292,11948,3.0,Madár higiénia és ápolás,,,,5,False,0,0,[],False,,banner,1528.0,madar-higienia-es-apolas,
1293,11951,3.0,Felszerelés,,,,13,False,0,0,[],False,,banner,1528.0,felszereles,
1294,11954,3.0,Rágcsáló eledel,,,,81,False,0,0,[],False,,banner,1528.0,ragcsalo-eledel,
1295,11957,3.0,Rágcsáló felszerelés,,,,21,False,0,0,[],False,,banner,1528.0,ragcsalo-felszereles,
1296,11960,1.0,Autó- és motor felszerelés,,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11240539/Auto%CC%81-%20e%CC%81s%20motor%20felszerele%CC%81s.png,750,False,47,8,[],False,,,,auto-es-motor-felszereles,
1297,11963,2.0,Gumiabroncsok,,,,67,False,0,3,[],False,,,,gumiabroncsok,
1298,11966,2.0,Autóápolás és karbantartás,,,,450,False,34,9,[],False,,,,autoapolas-es-karbantartas,
1299,11969,2.0,Kenőanyag,,,,72,False,3,6,[],False,,,,kenoanyag,
1300,11972,2.0,Autóelektronika,,,,52,False,10,3,[],False,,,,autoelektronika,
1301,11975,2.0,"Autós szerszámok, alkatrészek",,,,23,False,0,2,[],False,,,,autos-szerszamok-alkatreszek,
1302,11978,2.0,Belső felszerelési cikkek,,,,59,False,0,5,[],False,,,,belso-felszerelesi-cikkek,
1303,11981,2.0,Külső felszerelési cikkek,,,,26,False,0,2,[],False,,,,kulso-felszerelesi-cikkek,
1304,11984,2.0,Motoros felszerelések,,,,1,False,0,1,[],False,,,,motoros-felszerelesek,
1305,11987,3.0,Téli gumiabroncs,,,,24,False,0,0,[],False,,,,teli-gumiabroncs,
1306,11990,3.0,Nyári gumiabroncsok,,,,6,False,0,0,[],False,,,,nyari-gumiabroncsok,
1307,11993,3.0,Dísztárcsák,,,,37,False,0,0,[],False,,,,disztarcsak,
1308,11996,3.0,Ablaktörlők,,,,60,False,10,0,[],False,,,,ablaktorlok,
1309,11999,3.0,Autóillatosítók,,,,177,False,15,0,[],False,,,,autoillatositok,
1310,12002,3.0,Fagyálló folyadékok,,,,12,False,1,0,[],False,,,,fagyallo-folyadekok,
1311,12005,3.0,Elsősegély- és biztonsági termékek,,,,9,False,2,0,[],False,,,,elsosegely-es-biztonsagi-termekek,
1312,12008,3.0,Szélvédőmosó folyadékok,,,,26,False,0,0,[],False,,,,szelvedomoso-folyadekok,
1313,12011,3.0,Ápolószerek,,,,117,False,5,0,[],False,,,,apoloszerek,
1314,12014,3.0,Tisztítási kellékek,,,,25,False,1,0,[],False,,,,tisztitasi-kellekek,
1315,12017,3.0,Téli kiegészítők,,,,13,False,0,0,[],False,,,,teli-kiegeszitok,
1316,12020,3.0,Festés kiegészítők,,,,11,False,0,0,[],False,,,,festes-kiegeszitok,
1317,12023,3.0,"Motorolaj 0,5-1L",,,,20,False,0,0,[],False,,,,motorolaj-0-5-1l,
